run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
4985,200,5,142.5,95.0,5.0,1e-08,25,0.60,0.58,True,130.70000000000002,3,18.41717860185423,4.291524041859049,16.419915821124572,
4988,200,5,142.5,95.0,5.0,1e-08,50,0.45,0.55,True,140.70000000000002,3,4.264370867316381,2.0650353186607684,7.660006335999445,
4989,200,5,142.5,95.0,5.0,1e-08,50,0.60,0.45,True,134.3,3,6.621463202374182,2.573220395219613,6.736981255745273,
4992,200,5,142.5,95.0,5.0,1e-08,80,0.35,0.45,True,149.0,3,5.5485552114460255,2.355537138625928,10.90047770359321,
4993,200,5,142.5,95.0,5.0,1e-08,80,0.45,0.55,True,148.3,3,5.03541620666562,2.243973307921826,8.775388108211962,
4999,200,5,142.5,95.0,5.0,1e-08,120,0.60,0.45,True,145.5,3,26.848834800312627,5.1815861278485595,11.611069568937486,
4963,200,5,142.5,95.0,3.0,1e-06,25,0.45,0.55,True,317.40000000000003,3,118.86262697350267,10.902413814082763,8.20034909350083,
4994,200,5,142.5,95.0,5.0,1e-08,80,0.60,0.45,True,149.8,3,28.231617446533363,5.3133433397940095,13.288493486932804,
4997,200,5,142.5,95.0,5.0,1e-08,120,0.35,0.45,True,153.20000000000002,3,6.716610025127473,2.5916423412823524,7.1669280149504155,
4987,200,5,142.5,95.0,5.0,1e-08,50,0.35,0.45,True,201.20000000000002,3,49.635061178428366,7.045215481334007,42.30188278667503,
4986,200,5,142.5,95.0,5.0,1e-08,50,center,center,True,208.0,3,119.60052419660211,10.936202457736512,43.708719299804166,
4990,200,5,142.5,95.0,5.0,1e-08,50,0.60,0.58,True,191.5,3,4.463331545424839,2.112659827190558,14.044897599725198,
5000,200,5,142.5,95.0,5.0,1e-08,120,0.60,0.58,True,169.0,3,2.1252476864281302,1.4578229269798613,11.33540146194602,
4991,200,5,142.5,95.0,5.0,1e-08,80,center,center,True,206.60000000000002,3,51.09110434519206,7.147804162481794,45.392729302671064,
5002,200,5,142.5,95.0,5.0,1e-07,25,0.35,0.45,True,160.10000000000002,3,60.918732992674435,7.805045354940254,26.827078900066862,
4995,200,5,142.5,95.0,5.0,1e-08,80,0.60,0.58,True,187.9,3,7.36868437767336,2.7145320734287446,7.002540413201501,
4998,200,5,142.5,95.0,5.0,1e-08,120,0.45,0.55,True,193.3,3,2.830619144663775,1.6824443957123145,4.332251303517608,
4996,200,5,142.5,95.0,5.0,1e-08,120,center,center,True,206.8,3,131.42707825315912,11.464164961006063,40.8068685567121,
