run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,noise_detect_factor,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
3248,200,4,132.2,29.8,1.0,1e-08,50.0,50,0.45,0.55,True,199.20000000000002,3,2.427774701169871,1.558131798395075,71.1537356095509,
3256,200,4,132.2,29.8,1.0,1e-08,50.0,120,center,center,True,151.6,3,4.321900758655862,2.0789181702644917,64.16155634657623,
3254,200,4,132.2,29.8,1.0,1e-08,50.0,80,0.60,0.45,True,165.5,3,2.828213271254312,1.6817292502820755,65.81214058912353,
3250,200,4,132.2,29.8,1.0,1e-08,50.0,50,0.60,0.58,True,200.8,3,0.5620075091659671,0.7496716008799901,72.05691325348097,
3257,200,4,132.2,29.8,1.0,1e-08,50.0,120,0.35,0.45,True,164.70000000000002,3,19.50731109574203,4.416708174165691,65.8267600819147,
3253,200,4,132.2,29.8,1.0,1e-08,50.0,80,0.45,0.55,True,198.3,3,2.427774701169871,1.558131798395075,71.1537356095509,
3263,200,4,132.2,29.8,1.0,1e-08,100.0,25,0.45,0.55,True,118.60000000000001,3,1.3163958336919985e-05,0.003628216963870819,71.50989841723987,
3255,200,4,132.2,29.8,1.0,1e-08,50.0,80,0.60,0.58,True,200.5,3,1.2480575049215208,1.11716494078606,71.88860291351513,
3259,200,4,132.2,29.8,1.0,1e-08,50.0,120,0.60,0.45,True,165.5,3,2.828213271254312,1.6817292502820755,65.81214058912353,
3265,200,4,132.2,29.8,1.0,1e-08,100.0,25,0.60,0.58,True,106.30000000000001,3,0.003199419460765075,0.056563410971802924,74.92837370427122,
3230,200,4,83.4,31.6,5.0,1e-06,100.0,50,0.60,0.58,True,422.70000000000005,3,nan,nan,20.196928719198265,
3258,200,4,132.2,29.8,1.0,1e-08,50.0,120,0.45,0.55,True,198.3,3,2.427774701169871,1.558131798395075,71.1537356095509,
3266,200,4,132.2,29.8,1.0,1e-08,100.0,50,center,center,True,118.80000000000001,3,3.8543214334761853e-07,0.0006208318156696051,63.903986758543354,
3268,200,4,132.2,29.8,1.0,1e-08,100.0,50,0.45,0.55,True,118.10000000000001,3,4.0709279434676275e-08,0.00020176540693259655,65.13328886780513,
